 tweet_id retweet_status
730 672594978741354496 "No data"
731 676957860086095872 "No data"
732 788070120937619456 True
733 736736130620620800 "No data"
734 806242860592926720 True
735 669393256313184256 "No data"
736 858843525470990336 False
737 759447681597108224 False
738 682393905736888321 "No data"
739 842535590457499648 False
740 676975532580409345 "No data"
741 864279568663928832 False
742 822462944365645825 False
743 697259378236399616 "No data"
744 670803562457407488 "No data"
745 677573743309385728 "No data"
746 669214165781868544 "No data"
747 740676976021798912 "No data"
748 803692223237865472 True
749 666033412701032449 "No data"
750 683449695444799489 "No data"
751 671504605491109889 "No data"
752 674606911342424069 "No data"
753 814986499976527872 False
754 670079681849372674 "No data"
755 748699167502000129 "No data"
756 887343217045368832 False
757 889665388333682689 False
758 847962785489326080 False
759 671891728106971137 "No data"
760 709207347839836162 "No data"
761 733482008106668032 "No data"
762 872122724285648897 False
763 704859558691414016 "No data"
764 720340705894408192 "No data"
765 743210557239623680 "No data"
766 754856583969079297 "No data"
767 684188786104872960 "No data"
768 819015337530290176 True
769 670449342516494336 "No data"
770 708026248782585858 "No data"
771 699036661657767936 "No data"
772 684241637099323392 "No data"
773 698710712454139905 "No data"
774 714957620017307648 "No data"
775 673352124999274496 "No data"
776 757741869644341248 "No data"
777 797165961484890113 False
778 676219687039057920 "No data"
779 717790033953034240 "No data"
780 703769065844768768 "No data"
781 750071704093859840 "No data"
782 813051746834595840 False
783 782969140009107456 False
784 827600520311402496 False
785 709556954897764353 "No data"
786 826615380357632002 True
787 777885040357281792 False
788 847251039262605312 False
789 677662372920729601 "No data"
790 689255633275777024 "No data"
791 818646164899774465 True
792 692158366030913536 "No data"
793 672068090318987265 "No data"
794 889278841981685760 False
795 760521673607086080 False
796 680115823365742593 "No data"
797 816816676327063552 False
798 880095782870896641 False
799 699775878809702401 "No data"
800 708853462201716736 "No data"
801 780858289093574656 False
802 700462010979500032 "No data"
803 769212283578875904 False
804 675111688094527488 "No data"
805 668989615043424256 "No data"
806 837012587749474308 "No data"
807 668620235289837568 "No data"
808 833722901757046785 False
809 667793409583771648 "No data"
810 778764940568104960 False
811 842765311967449089 False
812 673686845050527744 "No data"
813 681339448655802368 "No data"
814 672877615439593473 "No data"
815 783391753726550016 False
816 701570477911896070 "No data"
817 729823566028484608 "No data"
818 759923798737051648 False
819 798925684722855936 False
820 675147105808306176 "No data"
821 693267061318012928 "No data"
822 667160273090932737 "No data"
823 876120275196170240 False
824 674742531037511680 "No data"
825 756651752796094464 "No data"
826 676101918813499392 "No data"
827 770655142660169732 False
828 762316489655476224 False
829 668286279830867968 "No data"
830 826598365270007810 False
831 827653905312006145 False
832 728046963732717569 "No data"
833 768473857036525572 False
834 793226087023144960 False
835 891689557279858688 False
836 799297110730567681 False
837 703382836347330562 "No data"
838 723912936180330496 "No data"
839 746131877086527488 "No data"
840 732585889486888962 "No data"
841 877316821321428993 False
842 863471782782697472 True
843 677557565589463040 "No data"
844 668268907921326080 "No data"
845 704491224099647488 "No data"
846 715200624753819648 "No data"
847 859196978902773760 False
848 698703483621523456 "No data"
849 700796979434098688 "No data"
850 817415592588222464 False
851 785639753186217984 False
852 693590843962331137 "No data"
853 797971864723324932 False
854 697630435728322560 "No data"
855 676603393314578432 "No data"
856 744971049620602880 "No data"
857 669324657376567296 "No data"
858 826598799820865537 False
859 711968124745228288 "No data"
860 815990720817401858 False
861 684969860808454144 "No data"
862 840268004936019968 False
863 721503162398597120 "No data"
864 776813020089548800 False
865 717421804990701568 "No data"
866 843856843873095681 False
867 732375214819057664 "No data"
868 678380236862578688 "No data"
869 765395769549590528 False
870 706901761596989440 "No data"
871 888804989199671297 False
872 719339463458033665 "No data"
873 757725642876129280 "No data"
874 746906459439529985 "No data"
875 690400367696297985 "No data"
876 686760001961103360 "No data"
877 671154572044468225 "No data"
878 672984142909456390 "No data"
879 692828166163931137 "No data"
880 676942428000112642 "No data"
881 841833993020538882 True
882 718460005985447936 "No data"
883 713411074226274305 "No data"
884 836380477523124226 False
885 685663452032069632 "No data"
886 820494788566847489 True
887 668484198282485761 "No data"
888 822975315408461824 False
889 675354435921575936 "No data"
890 666701168228331520 "No data"
891 815639385530101762 False
892 669923323644657664 "No data"
893 739623569819336705 "No data"
894 775898661951791106 True
895 669683899023405056 "No data"
896 686618349602762752 "No data"
897 801115127852503040 False
898 730211855403241472 "No data"
899 859074603037188101 False
900 667530908589760512 "No data"
901 746818907684614144 "No data"
902 684097758874210310 "No data"
903 668815180734689280 "No data"
904 739606147276148736 "No data"
905 749317047558017024 "No data"
906 676819651066732545 "No data"
907 715680795826982913 "No data"
908 674075285688614912 "No data"
909 685681090388975616 "No data"
910 689661964914655233 "No data"
911 850753642995093505 False
912 671735591348891648 "No data"
913 679511351870550016 "No data"
914 760153949710192640 True
915 872620804844003328 False
916 778748913645780993 False
917 793614319594401792 True
918 771500966810099713 False
919 742385895052087300 "No data"
920 805207613751304193 False
921 731285275100512256 "No data"
922 687480748861947905 "No data"
923 719551379208073216 "No data"
924 759943073749200896 False
925 780543529827336192 False
926 837366284874571778 False
927 690348396616552449 "No data"
928 666071193221509120 "No data"
929 683030066213818368 "No data"
930 784431430411685888 False
